,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.1,0.2,0.2,0.3,0.3,0.3,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7,0.7,0.6,0.5,0.5
1,0.0,0.2,0.3,0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7,0.6,0.5,0.5,0.5
2,0.1,0.1,0.1,0.5,0.5,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.8,0.7,0.6,0.6,0.5
3,0.2,0.1,0.2,0.4,0.5,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.8,0.8,0.7,0.7,0.6,0.6
4,0.0,0.2,0.2,0.4,0.6,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7,0.7,0.6,0.6,0.5
5,0.0,0.0,0.3,0.3,0.5,0.5,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.8,0.6,0.6
6,0.0,0.0,0.1,0.1,0.3,0.7,0.8,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.8,0.6,0.6,0.6,0.5,0.5
7,0.0,0.1,0.4,0.5,0.5,0.5,0.6,0.8,0.8,0.8,1.0,1.0,1.0,1.0,0.7,0.7,0.7,0.6,0.5,0.5
8,0.1,0.2,0.3,0.2,0.3,0.6,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,0.6,0.5,0.5
9,0.0,0.1,0.2,0.3,0.5,0.6,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.7,0.6,0.6
10,0.0,0.0,0.1,0.3,0.5,0.6,0.7,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.8,0.7,0.5,0.5
11,0.1,0.1,0.4,0.4,0.4,0.5,0.8,0.8,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.6,0.5,0.5,0.5,0.5
12,0.1,0.0,0.0,0.3,0.4,0.4,0.7,0.8,0.8,0.8,1.0,0.9,0.9,0.9,0.8,0.8,0.7,0.6,0.6,0.5
13,0.1,0.2,0.1,0.4,0.5,0.5,0.7,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.8,0.8,0.7,0.5,0.5
