,w,w_mado
0,"[0.02132898 0.00640233 0.01155483 0.0039575  0.01517778 0.06838937
 0.09729608 0.00150506 0.01642736 0.00749322 0.01329471 0.03715229
 0.09139403 0.0014112  0.00649814 0.03649389 0.0319102  0.05187519
 0.1035836  0.0234543  0.01213634 0.01777331 0.02849243 0.05168117
 0.02411871 0.01705669 0.00624163 0.04998583 0.0405507  0.00580832
 0.00818052 0.00338096 0.01388288 0.04310801 0.03100244]",0.1642426404020564
1,"[0.00453246 0.02988576 0.01481217 0.00931545 0.01389847 0.08259933
 0.03578895 0.03906523 0.00739512 0.02591159 0.03779826 0.003689
 0.00638324 0.0016342  0.00021408 0.03771206 0.01048446 0.02870592
 0.07744045 0.0342968  0.02391169 0.05077034 0.00656743 0.04983511
 0.07416427 0.02521494 0.02205675 0.0905307  0.01733649 0.02127727
 0.03236886 0.00242636 0.03671984 0.02944955 0.0158074 ]",0.024443215611802138
2,"[8.88934781e-02 2.80299959e-02 7.99881337e-03 1.07604701e-02
 3.01040351e-03 2.13299110e-02 2.41110938e-02 1.38196160e-03
 2.20403598e-02 8.22456301e-03 8.08805092e-03 7.75745952e-02
 9.77455998e-02 3.84918539e-02 9.16699874e-02 8.95812086e-03
 1.49658368e-02 4.42083246e-02 1.55810000e-03 6.94995141e-03
 5.36763426e-02 2.46879514e-02 6.45339183e-05 3.12826290e-02
 2.05158567e-02 1.82566204e-02 4.55447105e-02 8.10362822e-02
 2.86752637e-02 2.44629432e-02 1.33356972e-02 3.09506830e-02
 3.75609583e-03 1.26697850e-02 5.09313445e-03]",0.06429219301798586
3,"[0.02195113 0.0023933  0.0449303  0.00995428 0.00924866 0.01787814
 0.00736822 0.03721149 0.02579065 0.0021295  0.06999272 0.00105829
 0.04427071 0.0028147  0.02339186 0.03021471 0.00361728 0.02643708
 0.15844503 0.01533579 0.0071043  0.00787767 0.0374302  0.01110625
 0.00603525 0.00983855 0.02600559 0.0237101  0.01622653 0.08031553
 0.0159105  0.03404427 0.13581755 0.01264276 0.02150112]",0.055688515711317915
4,"[0.02733619 0.03568003 0.00142127 0.01126012 0.00648666 0.02017904
 0.01436856 0.00611914 0.01619413 0.10499447 0.01722117 0.0313223
 0.0252285  0.02506655 0.04971385 0.03762446 0.00341325 0.02019416
 0.09989495 0.0452552  0.00138513 0.01402821 0.00737857 0.00179529
 0.07573253 0.00155098 0.03261694 0.01918023 0.0342349  0.0366039
 0.02544025 0.02164467 0.04885899 0.048208   0.03236744]",0.06410165226033963
5,"[1.27750527e-02 2.80600374e-02 1.25941075e-02 6.54778335e-02
 2.13519625e-02 7.08506231e-02 8.33545148e-02 7.68892194e-04
 9.56870140e-02 1.54563959e-05 3.50904859e-03 1.38482053e-02
 6.82320109e-03 1.19024230e-02 1.13706599e-02 2.55192872e-02
 2.75059667e-02 1.27906481e-02 2.45938790e-03 7.19119128e-02
 2.88994038e-02 6.11567561e-02 2.08995786e-02 3.52100619e-02
 6.21068466e-04 2.77621572e-02 6.53058855e-02 1.18036094e-02
 1.01220795e-02 2.77357748e-03 7.48004471e-03 2.00511493e-02
 9.03607575e-03 6.07485335e-02 5.95537840e-02]",0.058648703480599335
6,"[4.84827757e-03 3.49490477e-02 6.02473748e-04 7.71128286e-03
 1.08431095e-02 1.05351177e-01 8.70648850e-04 3.47384976e-02
 6.00795265e-02 2.96242470e-02 3.12571584e-02 1.57694701e-02
 1.95240438e-03 6.49659835e-02 4.08799837e-02 3.05049961e-02
 4.04956327e-02 3.20770375e-02 5.37184767e-02 2.10581130e-02
 4.88979262e-02 8.35713588e-03 5.50001280e-02 9.07022926e-03
 3.13028479e-02 3.21710872e-02 4.78875136e-05 2.11698525e-02
 4.89174208e-02 2.25634280e-02 7.80431846e-03 1.68264276e-02
 1.37048678e-02 4.19235218e-02 1.99453762e-02]",0.1708381248744915
7,"[5.43577054e-02 6.88183020e-03 1.69760395e-03 6.47638820e-03
 1.74102483e-02 3.09046385e-02 1.47057471e-02 3.22670195e-02
 2.11481120e-03 7.53980098e-03 5.51185197e-02 1.82866074e-01
 4.43080686e-03 3.06820975e-02 3.52688224e-03 8.19417611e-02
 9.67441461e-03 3.16548525e-02 1.57320454e-02 3.44784217e-02
 8.19953643e-02 9.62550719e-03 4.23919204e-03 6.26010950e-03
 3.87820082e-02 6.34209567e-02 8.16981712e-05 6.25268086e-02
 2.81274434e-02 1.20186325e-02 2.37463789e-02 7.94761820e-03
 5.04310948e-03 1.14461356e-02 2.02773682e-02]",0.025308710496874786
8,"[0.02667283 0.0654437  0.02475587 0.01384235 0.00159038 0.00616788
 0.00087228 0.02416135 0.02902204 0.02060534 0.00939333 0.0643086
 0.01285964 0.00186065 0.0044718  0.04213014 0.01971407 0.1278566
 0.00022308 0.07785193 0.0341027  0.01009502 0.03167661 0.02762143
 0.01898697 0.0645906  0.02940468 0.04186255 0.03633166 0.06020228
 0.01446484 0.00574087 0.02223957 0.01689821 0.01197818]",0.18306290147725746
9,"[0.02342574 0.00207855 0.04751248 0.01484224 0.11353115 0.01132836
 0.04227183 0.01799249 0.01260664 0.03584627 0.02636451 0.0290303
 0.05366757 0.01257893 0.09667887 0.00507659 0.08590353 0.00364982
 0.00840531 0.0022545  0.04046379 0.00538246 0.02573268 0.02614021
 0.06002838 0.04574256 0.02323523 0.01006096 0.00087583 0.03063879
 0.00463116 0.0123233  0.00160068 0.0547139  0.01338435]",0.09614370968283825
