,w,w_mado
0,"[0.01834908 0.07952375 0.02782677 0.01221856 0.02329802 0.08631194
 0.06713622 0.27431936 0.02779016 0.01397294 0.11084657 0.04605988
 0.06370016 0.07850082 0.07014577]",0.1157581826856323
1,"[0.05286731 0.09144789 0.08618932 0.00653446 0.02497229 0.03781264
 0.14080185 0.00296408 0.25710356 0.00825575 0.08517858 0.15841371
 0.00177356 0.00080149 0.04488352]",0.2960892159459644
2,"[0.04060458 0.08453618 0.03248245 0.07588467 0.03591897 0.09915835
 0.01120877 0.23642641 0.08559653 0.03453206 0.00708544 0.14474251
 0.04078043 0.04698165 0.02406101]",0.08149633009178842
3,"[0.03149203 0.02673114 0.02344985 0.01665181 0.0176341  0.05447175
 0.01865492 0.05564194 0.14629764 0.09939952 0.01506376 0.10143811
 0.1947406  0.13890899 0.05942384]",0.020618474181414555
4,"[0.07599157 0.07284961 0.0495394  0.10572235 0.01725351 0.05513908
 0.02936951 0.05592425 0.02133647 0.24244921 0.00236421 0.03940568
 0.03515984 0.05313283 0.14436248]",0.03873714204740942
5,"[0.09097781 0.14417326 0.06438563 0.06338296 0.10106539 0.02778164
 0.09830628 0.06014051 0.0610087  0.00988677 0.09735245 0.02820702
 0.07296277 0.01184626 0.06852256]",0.3498183624402672
6,"[0.03698086 0.08526375 0.0801101  0.01363949 0.01908108 0.14217637
 0.11033397 0.03022418 0.04628117 0.02331331 0.22686675 0.09275065
 0.00323864 0.0457758  0.04396388]",0.0849730383478705
7,"[0.09673054 0.04379782 0.00637548 0.06488007 0.01585637 0.02913112
 0.1289128  0.20723484 0.14423633 0.06007447 0.04340666 0.00567614
 0.07670564 0.07015351 0.00682822]",0.009795530416563948
8,"[0.05121191 0.01349009 0.01382526 0.00453522 0.0074194  0.12149795
 0.06407505 0.10069464 0.07495759 0.02914435 0.07178478 0.01952701
 0.06323003 0.14421498 0.22039173]",0.10911608713705469
9,"[0.04708819 0.02179879 0.03013036 0.21527673 0.16739924 0.12547723
 0.11023957 0.01660636 0.00262352 0.02306566 0.04431884 0.00823717
 0.02899332 0.088635   0.07011002]",0.01858019264791812
10,"[0.03456564 0.05559042 0.01069529 0.17450827 0.03725962 0.02527387
 0.03384875 0.04170732 0.01060565 0.01443873 0.09932748 0.07762934
 0.15494832 0.04984395 0.17975736]",0.11111889221289381
11,"[0.04385621 0.02933163 0.02191324 0.00327885 0.17858691 0.00599982
 0.07380304 0.20223922 0.05821778 0.01643477 0.02670584 0.10326914
 0.17092194 0.02773515 0.03770645]",0.24214409977485338
12,"[0.04138435 0.06480564 0.05899999 0.05352122 0.1100163  0.00972122
 0.1021309  0.04392833 0.15634196 0.04398165 0.01992706 0.02938874
 0.14937376 0.05954878 0.05693009]",0.11746763092746255
13,"[0.06986976 0.14787161 0.00438764 0.02736675 0.20062868 0.05561459
 0.01743424 0.03995827 0.04241114 0.08728255 0.10004553 0.00936502
 0.01292572 0.1678852  0.0169533 ]",0.10403006101703328
14,"[0.00084764 0.0436655  0.18017163 0.05493567 0.04533313 0.08488077
 0.08099227 0.02854663 0.14134464 0.07949393 0.0542341  0.00901855
 0.10830494 0.03998148 0.04824911]",0.08828183192857383
15,"[0.02774308 0.0506833  0.01094236 0.07203146 0.12460431 0.08590077
 0.00365383 0.09363461 0.06962238 0.11531135 0.03978584 0.07759365
 0.05604345 0.15143935 0.02101025]",0.3283855666644587
16,"[0.00539403 0.05482197 0.02062571 0.04669003 0.05869227 0.17879417
 0.0752739  0.09953675 0.00974712 0.0292383  0.12728841 0.03935679
 0.04998119 0.00440785 0.20015152]",0.22048485723195796
