,w,w_mado
0,[0.50628208 0.14738331 0.23676969 0.07751867 0.03204624],0.4702146968520431
1,[0.25085608 0.33574832 0.23766554 0.00337023 0.17235984],0.03751913782009056
2,[0.0219619  0.03157716 0.3011309  0.06858789 0.57674215],0.12634860774968137
3,[0.0096259  0.15069349 0.47066273 0.35312301 0.01589489],0.12412860640103986
4,[0.12371466 0.44032255 0.06837938 0.04169328 0.32589012],0.08043925814018725
5,[0.02509721 0.05972718 0.4576181  0.33545357 0.12210394],0.115777864582105
6,[0.29454344 0.20266868 0.04897937 0.00609859 0.44770992],0.012628476816543303
7,[0.05348114 0.34186369 0.46552556 0.01214774 0.12698187],0.003391180645657602
8,[0.27294136 0.0668955  0.14480342 0.23153643 0.28382329],0.3901970440101314
9,[0.29740686 0.20643273 0.28417662 0.15732142 0.05466237],0.15089249289035794
10,[0.05132158 0.06659786 0.14085295 0.13646176 0.60476585],0.0327887422885335
11,[0.04514631 0.1193284  0.54859532 0.01414467 0.2727853 ],0.03025263085718697
12,[0.33765717 0.49174613 0.01432096 0.15473525 0.00154051],0.1019546687356661
13,[0.12974693 0.25267891 0.15481408 0.23589203 0.22686806],0.21361164878060615
14,[0.00392613 0.1065514  0.53837196 0.27063143 0.08051907],0.48842267788175425
15,[0.27497511 0.10630917 0.44617807 0.0225467  0.14999095],0.10936391363814207
16,[0.33601098 0.09772813 0.40465131 0.0969673  0.06464229],0.2250913911928523
17,[0.08148459 0.15640906 0.01322222 0.72992258 0.01896156],0.17511745360355446
18,[0.02152068 0.17457582 0.32621949 0.21206737 0.26561664],0.2715652040783474
19,[0.0333878  0.13092384 0.54467199 0.24528261 0.04573377],0.1317194692086486
20,[0.40976992 0.05077361 0.09954937 0.0231058  0.4168013 ],0.07584648522003201
21,[0.23326481 0.20270671 0.25922678 0.08151077 0.22329093],0.023452353647618687
22,[0.08039489 0.43937185 0.260053   0.01524884 0.20493141],0.34496211761198964
23,[0.06936984 0.17390898 0.14001073 0.31258661 0.30412384],0.019775194540862902
24,[0.22474299 0.12215691 0.28894805 0.33769557 0.02645648],0.18535933391428666
25,[0.45032947 0.06808798 0.15325377 0.23868528 0.08964349],0.1290700957794229
26,[0.20526843 0.23494647 0.46960857 0.05280437 0.03737216],0.12746921168379088
27,[0.01473624 0.553628   0.29589054 0.07312006 0.06262516],0.05148037864817693
28,[0.23160764 0.4241267  0.19317399 0.08807978 0.0630119 ],0.1410675771015868
29,[0.04727669 0.14692538 0.14334032 0.20280709 0.45965052],0.19901656881648172
30,[0.35495447 0.11601715 0.33056053 0.18865556 0.00981228],0.08442155990253779
31,[0.49172099 0.41834447 0.03160162 0.03332177 0.02501114],0.23334528775365396
32,[0.02327804 0.22756862 0.53684834 0.10224887 0.11005613],0.05805556505561055
33,[0.17281879 0.03580887 0.5506361  0.19094256 0.04979368],0.35186942548832073
34,[0.06374107 0.26643104 0.07215068 0.19048742 0.40718979],0.03941159532557637
35,[0.04885946 0.10011868 0.50991562 0.33554286 0.00556337],0.18941708381881428
36,[0.0224857  0.04131878 0.701105   0.22728034 0.00781019],0.07123079818003376
37,[0.1830796  0.13136067 0.42329168 0.17931169 0.08295637],0.1430736160094968
38,[0.25997949 0.38370636 0.17279466 0.02336428 0.16015521],0.0282782962291104
39,[0.03377889 0.3443577  0.05893837 0.03743102 0.52549402],0.08349924354334973
40,[0.21260476 0.46018194 0.00919112 0.18909465 0.12892754],0.024326788331308396
41,[0.06307957 0.18369789 0.46998436 0.17775762 0.10548056],0.04284357468647948
42,[0.02503784 0.0236896  0.43252378 0.31425123 0.20449756],0.07551031430546169
43,[0.20311473 0.21447138 0.08167551 0.35862653 0.14211185],0.0034737791950824955
44,[0.06651247 0.05190475 0.1617533  0.05552605 0.66430344],0.23962002488700734
45,[0.04105345 0.08709918 0.12346291 0.59593622 0.15244824],0.09798917180920912
46,[0.00560592 0.33193655 0.1836731  0.28247262 0.19631181],0.008420003764223881
47,[0.00254457 0.65402463 0.1766456  0.15956094 0.00722427],0.017370038417787847
48,[0.5146242  0.18910329 0.26059507 0.02735809 0.00831935],0.1786241139283919
49,[0.11763595 0.60650049 0.01736227 0.24027149 0.0182298 ],0.12804565596808398
50,[0.15366184 0.15842467 0.10794889 0.36817599 0.21178861],0.05463182397089367
51,[0.01840135 0.01290275 0.43885727 0.18445789 0.34538074],0.08692224705478108
52,[0.0191613  0.3156521  0.16840982 0.41482209 0.08195469],0.15124784546537018
53,[0.02180804 0.05443803 0.47318333 0.29038322 0.16018738],0.17697065955678787
54,[0.25704066 0.19704038 0.26376068 0.08461295 0.19754532],0.10374701543621222
55,[0.1871846  0.23451274 0.12163833 0.21894547 0.23771885],0.13424158640100162
56,[0.17219254 0.03910515 0.47697958 0.26495765 0.04676509],0.02822131602958286
57,[0.1570086  0.25140809 0.44150869 0.14960598 0.00046863],0.15168493173085032
58,[0.04110623 0.47412845 0.08462015 0.06693592 0.33320925],0.003306106133168107
59,[0.03960124 0.29244231 0.31357887 0.0874643  0.26691328],0.105061272560743
60,[0.18189408 0.27223019 0.01850754 0.2321101  0.29525809],0.0849282601884729
61,[0.04330501 0.19772569 0.1274302  0.55142735 0.08011175],0.1215648367755279
62,[0.24216976 0.53350731 0.0073429  0.09646017 0.12051987],0.06565323585513236
63,[0.143339   0.08625233 0.13679311 0.35450564 0.27910992],0.027285685312030437
64,[0.09684859 0.03001836 0.00332466 0.54065507 0.32915332],0.17445506597835397
65,[0.14786942 0.42838693 0.17329761 0.09931986 0.15112618],0.00390678165060787
66,[0.38888566 0.09510673 0.1146139  0.02009292 0.38130079],0.2587070819784613
67,[0.20424222 0.22552487 0.33049224 0.08355772 0.15618295],0.013512537629974923
68,[0.2153375  0.41064707 0.04854821 0.29310415 0.03236307],0.22709989076434509
69,[0.08697399 0.25025569 0.20941976 0.38323496 0.0701156 ],0.24691544644420244
70,[0.01783069 0.12346084 0.53207902 0.2838028  0.04282665],0.21411185352519357
71,[0.23343082 0.00208484 0.20634007 0.2427556  0.31538866],0.16388166775832566
72,[0.01189421 0.44319461 0.13526977 0.09259474 0.31704668],0.20317733251914089
73,[0.13418192 0.24984418 0.11924994 0.25018546 0.24653849],0.18117602155277052
74,[0.05777805 0.09443245 0.4243914  0.23552959 0.18786851],0.23072909399515848
75,[0.32449995 0.23090937 0.13689373 0.1331782  0.17451875],0.08326104182638525
76,[0.14537223 0.03534448 0.26609913 0.48525043 0.06793373],0.08360594956760725
77,[0.45840025 0.01773477 0.07775517 0.12376135 0.32234846],0.028347952480381838
78,[0.07353858 0.3670606  0.14882705 0.3447285  0.06584527],0.19098921016981305
79,[0.51469102 0.06277477 0.01383925 0.20222515 0.20646981],0.1899049215818745
80,[0.29690013 0.07377891 0.27666326 0.20958205 0.14307565],0.03698984910735836
81,[0.25564171 0.31851487 0.15189758 0.22915875 0.04478709],0.1335385807647188
82,[0.09462794 0.53156589 0.03305967 0.00182783 0.33891867],0.15227934392566286
83,[0.32205843 0.20472926 0.12806113 0.30072018 0.044431  ],0.04381270854616921
84,[0.19086456 0.24349    0.05050624 0.26770183 0.24743736],0.22056660401147818
85,[0.37767759 0.25937475 0.23343388 0.11866236 0.01085141],0.1192755468543842
86,[0.07979882 0.56716627 0.30491375 0.0085127  0.03960846],0.11796810413965432
87,[0.17969099 0.06945165 0.71727246 0.02149475 0.01209016],0.06468679221884115
88,[0.12325803 0.09621348 0.64899413 0.12997401 0.00156034],0.011067194718145738
89,[0.01021488 0.03332058 0.40954611 0.12569015 0.42122827],0.05768674413116854
90,[0.22501616 0.10467446 0.40440841 0.12368624 0.14221473],0.10766743688407211
91,[0.08640745 0.2651074  0.16732695 0.03063606 0.45052214],0.023253971010458376
92,[0.04444907 0.62185066 0.07527668 0.14966038 0.10876321],0.020591972860651078
93,[0.10251294 0.15083608 0.37742757 0.06725436 0.30196906],0.05471390065135513
94,[0.1378194  0.11728904 0.02466588 0.43042562 0.28980006],0.09217227530758026
95,[0.01045995 0.43648104 0.14026452 0.27920983 0.13358466],0.12064088333295055
96,[0.31857853 0.01762511 0.37494632 0.10250629 0.18634375],0.04754704726120842
97,[0.49524596 0.09480185 0.25127348 0.05365799 0.10502073],0.3256260740324661
98,[0.04931129 0.41777074 0.39033481 0.02122637 0.12135678],0.0019853458014005457
99,[0.03989731 0.04674487 0.45160667 0.06251555 0.39923559],0.31068205798475024
100,[0.05408528 0.53232087 0.18725523 0.20465894 0.02167968],0.26338050764935944
101,[0.24795724 0.2142294  0.37317828 0.11495416 0.04968092],0.020888447277713024
102,[0.2787742  0.28071165 0.0914835  0.08958305 0.2594476 ],0.06170317750218755
103,[0.07373289 0.37278847 0.05806104 0.43167895 0.06373864],0.021462098871297863
104,[0.27036259 0.23860454 0.1175609  0.32958109 0.04389087],0.050201315979028105
105,[0.06745644 0.50164048 0.00051065 0.3942918  0.03610063],0.04000149521544655
106,[0.36995915 0.14290517 0.10390365 0.21857102 0.16466102],0.02143047585478648
107,[0.04577888 0.11267585 0.03557917 0.36464505 0.44132104],0.03828913488480727
108,[0.31732668 0.35327642 0.07556862 0.01177426 0.24205403],0.16315913593440184
109,[0.15608464 0.06029596 0.09103305 0.60225972 0.09032663],0.06100068386962974
110,[0.39295806 0.26749753 0.25481827 0.00495647 0.07976967],0.11688351121277796
111,[0.47792521 0.12443326 0.11142576 0.18830368 0.09791209],0.005670589018228198
112,[0.34775612 0.13412985 0.05209351 0.02874758 0.43727293],0.1346657154468156
113,[0.1728968  0.19788816 0.59883353 0.00603756 0.02434395],0.012382264240953124
114,[0.36383821 0.0612301  0.01478205 0.50160701 0.05854262],0.06486515801993631
115,[0.27733181 0.13143524 0.11367624 0.12669652 0.35086017],0.0028128140482857845
116,[0.33441422 0.03079898 0.17549993 0.3630372  0.09624966],0.17866646436678804
117,[0.00368728 0.1676064  0.19818658 0.13507037 0.49544937],0.19446075060226492
118,[0.27304233 0.06661389 0.09293948 0.29215254 0.27525177],0.07274216897828319
119,[0.28688397 0.16109179 0.11745245 0.00191711 0.43265467],0.022516060342125308
120,[0.24011218 0.12812756 0.16235339 0.23082195 0.23858491],0.10358980414678122
121,[0.23770373 0.16319279 0.48740633 0.05333449 0.05836266],0.03512874680776663
122,[0.31972544 0.34398642 0.01342675 0.21965797 0.10320342],0.13648283170787462
123,[0.34473969 0.12718767 0.06449495 0.1925756  0.27100209],0.16892083727719792
124,[0.16299464 0.34467054 0.11528561 0.05363562 0.32341359],0.06014563101988193
125,[0.036493   0.0688295  0.42471875 0.09591999 0.37403876],0.08242143230719137
126,[0.20530711 0.27335364 0.19911974 0.09695871 0.2252608 ],0.02963762258501656
127,[0.07144158 0.17593119 0.47663648 0.23145157 0.04453918],0.08836073852499758
128,[0.26679469 0.0846302  0.27379081 0.25278977 0.12199452],0.1559510510892425
129,[0.31027742 0.64741792 0.03508307 0.0014408  0.0057808 ],0.22281718721003382
130,[0.12966801 0.11936074 0.41827715 0.11325206 0.21944202],0.13211781736180978
131,[0.01285833 0.04696353 0.58090727 0.33144017 0.0278307 ],0.103545937630742
132,[0.62453319 0.04752489 0.16565991 0.01827409 0.14400792],0.023727546936653493
133,[0.08981908 0.53503215 0.17718427 0.02574743 0.17221707],0.20024613550779746
134,[0.17631686 0.18410678 0.285127   0.31794558 0.03650378],0.0004956704200911098
135,[0.06025354 0.38363535 0.08552441 0.24793171 0.22265498],0.1639176244965873
136,[0.20213355 0.40727308 0.24252443 0.08203818 0.06603076],0.2137553302807007
137,[0.40884065 0.01673514 0.0361793  0.42507578 0.11316913],0.058069166994862184
138,[0.20111145 0.09022545 0.1571805  0.08951384 0.46196877],0.32070683493637486
139,[0.0061783  0.03714233 0.58418564 0.01842598 0.35406775],0.1679504616948965
140,[0.24647892 0.04895832 0.13399671 0.24446967 0.32609638],0.17051435600549275
141,[0.00975246 0.3580454  0.51582545 0.00453618 0.11184052],0.23287255894802178
142,[0.15873336 0.18775938 0.19642845 0.36271409 0.09436472],0.031760076180907294
143,[0.05190587 0.12792081 0.03425465 0.33666799 0.44925068],0.0411557089690883
144,[0.3143578  0.00326803 0.24777892 0.2636342  0.17096104],0.24376511237959894
145,[0.01415337 0.19916527 0.33413265 0.10059254 0.35195617],0.28002602846975677
146,[0.12298918 0.34846149 0.13145505 0.27809331 0.11900097],0.10706179266115823
147,[0.28428647 0.10605564 0.07416888 0.06451902 0.47096999],0.10772509828906264
148,[0.27196473 0.1574355  0.26964533 0.18183962 0.11911482],0.009376664888207743
149,[0.37869961 0.01955802 0.36571886 0.02146344 0.21456007],0.07828426868570929
