,w,w_mado
0,[0.18854832 0.27454339 0.46101348 0.03378193 0.04211289],0.19959366051551372
1,[0.06330964 0.10304283 0.15883442 0.4268063  0.24800682],0.24234340352970118
2,[0.11347158 0.15827322 0.06356779 0.39315909 0.27152832],0.05927102681093117
3,[0.0730997  0.05753226 0.04403442 0.5702018  0.25513182],0.08859056146168079
4,[0.2528783  0.08627793 0.06438731 0.39629658 0.20015988],0.12228599359617318
5,[0.21680304 0.34322461 0.02418009 0.20961945 0.20617282],0.07979036700266619
6,[0.03637223 0.23532855 0.29552672 0.08226851 0.35050399],0.04337719299146125
7,[0.13068156 0.19784737 0.09396758 0.37038392 0.20711957],0.14341566987302262
8,[0.22793566 0.27451624 0.04784205 0.40416951 0.04553654],0.01758409749423297
9,[0.02071061 0.13002508 0.13610983 0.19813698 0.51501751],0.08769224071871683
10,[0.11486156 0.20413176 0.1015725  0.43550557 0.1439286 ],0.0520079882726659
11,[0.22677917 0.07137526 0.42477822 0.19714025 0.07992709],0.09982338016603187
12,[0.11140434 0.05828811 0.04684188 0.24703566 0.53643   ],0.3056532771264818
13,[0.18669689 0.04050812 0.12866735 0.28639278 0.35773486],0.020562754916468515
14,[0.1555598  0.02853435 0.2671952  0.18613649 0.36257415],0.07751023013274823
15,[0.17842866 0.42638328 0.02900512 0.32809111 0.03809183],0.06273277617066401
16,[0.01013171 0.31942471 0.4879417  0.02848598 0.1540159 ],0.07459381457911081
17,[0.33532581 0.32561362 0.12544146 0.00917607 0.20444303],0.07459687981637464
18,[0.00147859 0.12012774 0.19956944 0.17385401 0.50497023],0.037794587891239954
19,[0.05796438 0.29152466 0.08651113 0.36833991 0.19565992],0.02305064057124971
20,[0.67872382 0.15814037 0.09773293 0.00693121 0.05847168],0.046756651374930486
21,[0.2940587  0.00455976 0.33240498 0.21991686 0.1490597 ],0.040473512337031954
22,[0.26722147 0.33237281 0.13647198 0.24807446 0.01585929],0.16431378325558046
23,[0.41565047 0.07560706 0.27095163 0.22816606 0.00962478],0.17086175337398274
24,[0.18211111 0.08468991 0.28030805 0.03409542 0.41879551],0.061056410881824924
25,[0.16391224 0.22742678 0.06031572 0.30138884 0.24695642],0.22177792648707773
26,[0.18878162 0.22997642 0.32402346 0.18020068 0.07701783],0.1271291832266338
27,[0.13631011 0.38667615 0.18822807 0.13807414 0.15071154],0.20931645948149832
28,[0.02090716 0.07596685 0.1195763  0.2841663  0.49938339],0.03721777967407128
29,[0.71614244 0.07874086 0.01373375 0.104285   0.08709796],0.10466865049618357
30,[0.34650072 0.36330598 0.07435754 0.02157249 0.19426327],0.02569957885066248
31,[0.0275533  0.55509802 0.031112   0.01190912 0.37432757],0.03311712063697999
32,[0.09516581 0.18653204 0.31910337 0.05997553 0.33922325],0.23024392866852444
33,[0.48590194 0.23099132 0.03662684 0.1616586  0.08482128],0.0373746504484128
34,[0.11852239 0.42264872 0.10700395 0.281772   0.07005295],0.12129848446935194
35,[0.37427804 0.31265964 0.18782524 0.06186775 0.06336932],0.07673111055907614
36,[0.36087448 0.23849846 0.16283991 0.17651325 0.0612739 ],0.12014316803599229
37,[0.15216897 0.29131598 0.07856186 0.19841906 0.27953412],0.14621876807995327
38,[0.05448127 0.03234382 0.62225305 0.07380214 0.21711972],0.12278257803680517
39,[0.43707113 0.06785888 0.37228613 0.03155146 0.0912324 ],0.08539393668933018
40,[0.58927372 0.06563929 0.21053004 0.05567059 0.07888636],0.17887366037015484
41,[0.11969865 0.0946446  0.13824481 0.39206707 0.25534487],0.07486742188361872
42,[0.03316015 0.18181373 0.28127009 0.12369457 0.38006147],0.02363261545883696
43,[0.16314722 0.09559048 0.36405319 0.37534353 0.00186556],0.06519976461080196
44,"[7.94599226e-02 3.41378817e-01 1.71076442e-01 4.07832866e-01
 2.51952422e-04]",0.14490843364412934
45,[0.36533778 0.32431321 0.00161521 0.12055146 0.18818234],0.11224172955168282
46,[0.13481321 0.10268283 0.03181713 0.59418766 0.13649917],0.22282606979433406
47,[0.31814073 0.44161314 0.01030659 0.20260162 0.02733792],0.05179379672251031
48,[0.19144179 0.01677879 0.50852465 0.10332255 0.17993222],0.3582777220143178
49,[0.16499566 0.13208538 0.3456819  0.09161493 0.26562214],0.2659357067990861
50,[0.09857809 0.01498191 0.43904992 0.22627109 0.22111899],0.01167907800372541
51,[0.2345616  0.08375527 0.46090834 0.15728825 0.06348654],0.13754051343030976
52,[0.30310556 0.21051096 0.1926643  0.25448104 0.03923814],0.26449172197194915
53,[0.61584905 0.32535647 0.00615341 0.02225638 0.03038469],0.013251767053006775
54,[0.59641963 0.0032962  0.17814478 0.19039625 0.03174314],0.11940702334076868
55,[0.34171059 0.09744303 0.2417614  0.29831214 0.02077285],0.05007803625772346
56,[0.01607887 0.80433618 0.06187607 0.0693631  0.04834578],0.36583481254929484
57,[0.04104007 0.03543096 0.2590981  0.11865646 0.54577441],0.05783720795281841
58,[0.13718949 0.5751399  0.18261812 0.10245636 0.00259614],0.05867836910674151
59,[0.05657568 0.04292022 0.13299541 0.02306568 0.74444301],0.1773503198373717
60,[0.16327752 0.14958628 0.09006069 0.43221324 0.16486226],0.03296948840012229
61,[0.14002879 0.021614   0.22608185 0.03253154 0.57974381],0.12907924413870783
62,[0.43927226 0.22090517 0.06573623 0.14130318 0.13278315],0.10274926453856532
63,[0.57387667 0.0717621  0.11799098 0.07004058 0.16632967],0.024605344953195708
64,[0.01502719 0.06144045 0.76423466 0.05060655 0.10869115],0.09651205797870883
65,[0.09547117 0.08479868 0.0621266  0.03108333 0.72652022],0.24679312391486155
66,[0.02132827 0.05210606 0.16456496 0.06618939 0.69581132],0.12115313080641707
67,[0.14430018 0.08267134 0.39331465 0.36436134 0.01535249],0.2154554110696703
68,[0.25223409 0.0119907  0.10245389 0.38734956 0.24597176],0.2058748893729039
69,[0.04010747 0.33520304 0.03272884 0.11947091 0.47248973],0.13906890733781022
70,[0.31608704 0.32531869 0.23107233 0.07246982 0.05505212],0.019825419029917534
71,[0.27614532 0.20109313 0.01848879 0.28919373 0.21507902],0.1790496604874057
72,[0.35271768 0.08250275 0.07062518 0.02013431 0.47402008],0.011470286219416799
73,[0.26442572 0.00958876 0.08481415 0.01940001 0.62177135],0.42236148876403273
74,[0.62686661 0.00834557 0.19266631 0.04359503 0.12852648],0.009239014677043078
75,[0.65449407 0.02610425 0.08560065 0.09574637 0.13805466],0.1063750667969477
76,[0.16243013 0.36202148 0.1552463  0.06599421 0.25430787],0.10291415535051554
77,[0.68644742 0.0982609  0.18100642 0.02214594 0.01213932],0.05684492934752315
78,[0.46061677 0.21676889 0.1164876  0.06778063 0.13834611],0.10770958904033649
79,[0.02033541 0.11461875 0.25713777 0.1971671  0.41074097],0.02918763227142654
80,[0.05129413 0.16227627 0.02328829 0.28258386 0.48055744],0.01724068383693582
81,[0.06569247 0.19817697 0.02414349 0.02469197 0.68729509],0.11490782683189082
82,[0.0656934  0.03990187 0.3344689  0.20946883 0.350467  ],0.29201349900451645
83,[0.072771   0.13335463 0.21281008 0.52217815 0.05888615],0.08746763031822916
84,[0.41512966 0.09452463 0.0679308  0.26258282 0.15983209],0.17163547974539486
85,[0.13271615 0.00333663 0.17185017 0.10014112 0.59195593],0.18189657635957943
86,[0.07136729 0.13942988 0.26562061 0.10543095 0.41815127],0.11563200076415356
87,[0.14524723 0.06396437 0.28675396 0.20206786 0.30196658],0.030906287969426672
88,[0.13643863 0.07485425 0.1510867  0.32125731 0.3163631 ],0.10135919665588213
89,[0.42234376 0.11137201 0.05178179 0.05445759 0.36004486],0.2581567439909388
90,[0.23690114 0.5997902  0.00484006 0.07055855 0.08791005],0.0716423223774223
91,[0.54167054 0.04423325 0.07701957 0.14921009 0.18786655],0.22956143326427578
92,[0.77359198 0.05622447 0.03223361 0.02203268 0.11591727],0.114473799926779
93,[0.40305726 0.02654679 0.11938685 0.06730346 0.38370564],0.3214411257063818
94,[0.07859888 0.2170624  0.20174843 0.1074629  0.3951274 ],0.05846868764391135
95,[0.62728852 0.07867542 0.07453762 0.04915771 0.17034072],0.35862288255455294
96,[0.01490981 0.14390668 0.27412662 0.24924467 0.31781222],0.25224797653456893
97,[0.02506806 0.12626392 0.13186605 0.12819094 0.58861103],0.2665049676640234
98,[0.22272235 0.13506597 0.11470906 0.11767992 0.4098227 ],0.21863072226942343
99,[0.29502095 0.34824485 0.29480778 0.01030921 0.05161721],0.11213962867151436
100,[0.02954323 0.28795924 0.05094234 0.10625443 0.52530075],0.10379440862971615
101,[0.06431599 0.39548009 0.14857402 0.31900733 0.07262257],0.1388438811526069
102,[0.31711133 0.19817616 0.10806231 0.06861621 0.30803399],0.19848238445889882
103,[0.04022778 0.37748872 0.53740031 0.0018796  0.04300359],0.08531122336982955
104,[0.00712349 0.10130542 0.18253144 0.43608146 0.27295818],0.023530255214655762
105,[0.34466218 0.17888527 0.02085706 0.23487261 0.22072288],0.09130009852040366
106,[0.03001886 0.06337064 0.22553892 0.35587859 0.32519299],0.07745506721232158
107,[0.27491016 0.15420372 0.24082454 0.20487479 0.12518679],0.19180022510914715
108,[0.24722729 0.1837748  0.26293097 0.05597288 0.25009406],0.02047026415707757
109,[0.01152514 0.58876373 0.15793428 0.23195036 0.00982649],0.07396759753357025
110,[0.27961912 0.11450977 0.21347649 0.3880054  0.00438922],0.1480097519012358
111,[0.15311911 0.36519508 0.02942879 0.21680263 0.23545438],0.017023297270927305
112,[0.5875289  0.1965538  0.02118093 0.17044682 0.02428955],0.16178526132145649
113,[0.17867747 0.16787132 0.35098207 0.1468992  0.15556993],0.08369988759618124
114,[0.40955462 0.30278159 0.13595968 0.0527934  0.09891072],0.0672519487548894
115,[0.35927515 0.04857427 0.18539144 0.31388764 0.09287149],0.1004783278775282
116,[0.16632678 0.19461282 0.09593884 0.42602414 0.11709742],0.15679246992289195
117,[0.03016988 0.17218736 0.55485031 0.05191699 0.19087545],0.05709099761533909
118,[0.07344026 0.42961118 0.28333042 0.06443986 0.14917827],0.004993179805170899
119,[0.22318175 0.45796035 0.00590125 0.13695542 0.17600123],0.03756336236397586
120,[0.0391483  0.04478589 0.31282389 0.49302518 0.11021673],0.04363889552828935
121,[0.151524   0.25030882 0.06151717 0.21440527 0.32224475],0.10936203235017976
122,[0.08833563 0.39016015 0.05763792 0.30088401 0.16298228],0.06604635953538877
123,[0.08631944 0.46548964 0.05879587 0.21949149 0.16990356],0.14226256978042143
124,[0.23281177 0.51467658 0.09790488 0.09332593 0.06128084],0.006089394122375008
125,[0.05683642 0.25021105 0.15735003 0.22089328 0.31470923],0.10803911900201356
126,[0.14480068 0.11937483 0.58416217 0.10839713 0.04326518],0.500607688715576
127,[0.0741307  0.01911162 0.03147408 0.41522028 0.46006333],0.1252387176084385
128,[0.13842505 0.74604156 0.0886091  0.00077528 0.02614901],0.021881766686670693
129,[0.23788051 0.58217753 0.02514842 0.1310788  0.02371474],0.19158000832276778
130,[0.15533592 0.07405547 0.0065401  0.53598904 0.22807947],0.5200378416436723
131,[0.33444536 0.24214715 0.01877142 0.23760513 0.16703094],0.2739274021084107
132,[0.35726311 0.02778909 0.17220128 0.26989901 0.17284751],0.10495792690274039
133,[0.0363509  0.11755291 0.34445788 0.15101787 0.35062044],0.06000854439811047
134,[0.26489592 0.09714016 0.07065107 0.029401   0.53791184],0.03397192548941629
135,[0.71585359 0.04245525 0.08379985 0.03404205 0.12384926],0.23477019230643226
136,[0.29371766 0.02398494 0.40903006 0.04650643 0.22676091],0.11399123451972601
137,[0.16747017 0.08399966 0.50028745 0.18270604 0.06553668],0.0036568006365429876
138,[0.0279856  0.1131913  0.66907033 0.0137312  0.17602156],0.17263590237363727
139,[0.00409367 0.25205306 0.06705953 0.60341536 0.07337838],0.031104152947079168
140,[0.0018389  0.29023972 0.14133238 0.19860968 0.36797932],0.14164579514256173
141,[0.03221076 0.26984963 0.08945753 0.35894999 0.2495321 ],0.04917476051357022
142,[0.03687144 0.03341834 0.08694379 0.05442879 0.78833764],0.3321773260935329
143,[0.36471103 0.3125845  0.17533874 0.07753428 0.06983145],0.05384241757780782
144,[0.3729992  0.07944636 0.26641082 0.13393072 0.1472129 ],0.1411073354181937
145,[0.29921989 0.10483097 0.09341051 0.10620229 0.39633634],0.2035492192200734
146,[0.48530514 0.00118479 0.04768861 0.15828557 0.30753589],0.25743364816440667
147,[0.25248609 0.09226489 0.1883617  0.16880343 0.2980839 ],0.002922265084459392
148,[0.06155421 0.37446033 0.0845913  0.33916159 0.14023257],0.00015662942524298626
149,[0.12325317 0.06104967 0.25576954 0.29492887 0.26499874],0.05285738260094217
150,[0.11381105 0.58591922 0.04770403 0.11045321 0.1421125 ],0.11206232040640479
151,[0.3794853  0.13991977 0.20118401 0.25812517 0.02128575],0.13247049148816714
152,[0.35083234 0.34690957 0.04544069 0.23304755 0.02376985],0.13653158632350615
153,[0.48239721 0.06121229 0.08631975 0.22976915 0.1403016 ],0.031566524467572105
154,[0.07940905 0.0752782  0.76059547 0.01617783 0.06853946],0.06810853771627665
155,[0.4323336  0.01268026 0.29685289 0.08019639 0.17793685],0.14538610626997764
156,[0.17907532 0.6292523  0.00407565 0.00242076 0.18517597],0.07739480216130096
157,[0.03727605 0.55907549 0.03436158 0.24686239 0.12242449],0.04882262882859036
158,[0.28795777 0.44370785 0.26437077 0.00274653 0.00121708],0.0907179296560609
159,[0.26266871 0.07102961 0.48736503 0.01849624 0.16044041],0.22860162403568327
160,[0.5251693  0.05093729 0.413021   0.00102983 0.00984258],0.07624282684200777
161,[0.26126576 0.3107443  0.02415558 0.29436576 0.10946861],0.26475776388980815
162,[0.38301129 0.02939437 0.08926187 0.21306772 0.28526475],0.13614462713011613
163,[0.17494483 0.09075717 0.03745138 0.04154193 0.65530468],0.10340812505086458
164,[0.47903857 0.24362057 0.0348902  0.10580132 0.13664934],0.05867260903517445
165,[0.2087519  0.38708011 0.36346904 0.02743857 0.01326039],0.13931976176796995
166,[0.42177642 0.03041906 0.13227469 0.04822458 0.36730525],0.17759341942252682
167,[0.09666844 0.82056082 0.01913234 0.03893545 0.02470295],0.3975089757835636
168,[0.27058954 0.08400958 0.3837987  0.02421514 0.23738702],0.030778197068262566
169,[0.11886863 0.0677151  0.0667649  0.6917445  0.05490686],0.13030706457353644
170,[0.10709272 0.04937399 0.20264454 0.14133001 0.49955874],0.09534406925098216
171,[0.26269744 0.02087681 0.0156127  0.5926504  0.10816265],0.05713259434395254
172,[0.11141414 0.21707549 0.28420484 0.328008   0.05929754],0.09356441808303145
173,[0.20485794 0.59727994 0.04358622 0.08985967 0.06441623],0.17776481036034403
174,[0.16336034 0.13594737 0.52581141 0.06944593 0.10543495],0.00769951545313144
175,[0.40036467 0.2003936  0.12263673 0.07359561 0.2030094 ],0.29387791683767106
176,[0.33941261 0.24849871 0.30757675 0.06993087 0.03458106],0.05085801479780085
177,[0.12800983 0.03514478 0.03856562 0.69372668 0.10455309],0.2284034641224821
178,[0.06656414 0.0621804  0.00327833 0.45326713 0.41471   ],0.10364354076166436
179,[0.58239907 0.02848407 0.20580385 0.06094166 0.12237135],0.13039310925283376
180,[0.24331663 0.04834034 0.20815097 0.33538749 0.16480457],0.21119988983947072
181,[0.0085819  0.27588118 0.01588598 0.12688267 0.57276826],0.17823371562837376
182,[0.09653148 0.05149909 0.36763304 0.152261   0.3320754 ],0.018526884692588966
183,[0.02768959 0.76412255 0.13501969 0.04071324 0.03245493],0.3297581140300065
184,[0.28119721 0.28920581 0.19400003 0.04089992 0.19469703],0.027876987590525967
185,[0.08795655 0.21569993 0.37899411 0.2444495  0.0728999 ],0.114108878738832
186,[0.0762044  0.10936201 0.24126412 0.51125478 0.06191469],0.03827299782817433
187,[0.42077866 0.21102538 0.18840952 0.13602605 0.04376039],0.2877095992300628
188,[0.35369019 0.0443859  0.22615812 0.09383917 0.28192662],0.0829770223387273
189,[0.12873968 0.53362407 0.02802158 0.22026774 0.08934692],0.06826502957819451
190,[0.34121331 0.14472271 0.38054074 0.0679472  0.06557605],0.022566183808179242
191,[0.43371266 0.13377154 0.11479014 0.25234092 0.06538473],0.1990539580445869
192,[0.0228654  0.22331975 0.1875434  0.03408015 0.5321913 ],0.020972827274506663
193,[0.09101285 0.21785694 0.19222684 0.07727747 0.4216259 ],0.11196283155405387
194,[0.04871838 0.34813713 0.23688322 0.24594662 0.12031464],0.08859423560146977
195,[0.06587096 0.07229813 0.26904758 0.2322224  0.36056093],0.23558619072499848
196,[0.18216007 0.08252684 0.63588319 0.05101001 0.04841988],0.29277519401755125
197,[0.58478804 0.21253531 0.07218175 0.06727165 0.06322324],0.3021754870088375
198,[0.16163873 0.12934207 0.457223   0.08754319 0.16425301],0.18686811632097292
199,[0.37782102 0.19171576 0.08208139 0.01905475 0.32932708],0.2181224175973465
200,[0.50876224 0.09420797 0.14669478 0.21307383 0.03726118],0.20242652396644903
201,[0.01478825 0.12972533 0.07531927 0.7248915  0.05527565],0.5270706079130221
202,[0.21972602 0.17378232 0.06426668 0.16852215 0.37370283],0.09955614125536964
203,[0.33121176 0.19112008 0.03412202 0.03049184 0.41305431],0.03403100012955691
204,[0.18398436 0.42792163 0.09255278 0.21164063 0.08390059],0.0524073478678523
205,[0.19052606 0.34097405 0.01947222 0.25008562 0.19894205],0.1436432269703724
206,[0.42450129 0.15213984 0.06834907 0.21220903 0.14280077],0.22343005537844157
207,[0.04916161 0.33172977 0.15810995 0.11538799 0.34561069],0.040455408363140107
208,[0.1112473  0.18598629 0.19116964 0.08244244 0.42915433],0.03952388774030949
209,[0.08799852 0.30912455 0.1395049  0.26903668 0.19433536],0.016596174185822522
210,[0.38662257 0.12580456 0.09944091 0.22555116 0.1625808 ],0.02161345000442126
211,[0.09412277 0.683566   0.03482446 0.08155976 0.10592701],0.025128698520065235
212,[0.43841916 0.07375157 0.29888903 0.03404811 0.15489212],0.1083495261948707
213,[0.23132682 0.20440077 0.13730157 0.07232343 0.35464741],0.18165596374062204
214,[0.31589135 0.23078575 0.05514623 0.35445989 0.04371678],0.08509261119751603
215,[0.09362832 0.50510339 0.02744535 0.01581064 0.35801229],0.36246276219458196
216,[0.10532974 0.20389538 0.29745706 0.24646129 0.14685653],0.06849449958411621
217,[0.12664113 0.36842558 0.09923371 0.25147832 0.15422125],0.20940871651901735
218,[0.23306627 0.14728743 0.12326365 0.1556044  0.34077826],0.07153633329700075
219,[0.01955362 0.02996218 0.03566168 0.36582371 0.5489988 ],0.38233194555127015
220,[0.24156244 0.18147252 0.08970876 0.19075731 0.29649896],0.17113267574691915
221,[0.17764968 0.41400273 0.17530171 0.01461734 0.21842854],0.1582162676038542
222,[0.19963152 0.20089849 0.09254887 0.38077241 0.12614872],0.19918359874759897
223,[0.16633707 0.46959264 0.31831669 0.02230193 0.02345166],0.06150382663209653
224,[0.1800943  0.1282357  0.490597   0.01733579 0.18373721],0.08316462411319851
225,[0.22271712 0.09728235 0.43051378 0.12657886 0.12290789],0.009099204370916247
226,[0.18964761 0.29762408 0.06414241 0.15863457 0.28995133],0.06741409046563217
227,[0.11000846 0.23435974 0.03737232 0.02565581 0.59260367],0.3136073350404841
228,[0.32207914 0.25450669 0.28408495 0.05625829 0.08307093],0.042734486695339545
229,[0.1923119  0.08417787 0.36041597 0.15925397 0.2038403 ],0.09980309624408337
230,[0.20243094 0.13460986 0.28901908 0.1698976  0.20404252],0.2391420121677285
231,[0.2867249  0.25985728 0.19250934 0.15716469 0.10374379],0.0338096824623752
232,[0.15386528 0.3106814  0.29563585 0.0899619  0.14985557],0.34156736841433366
233,[0.33147873 0.15150142 0.0422651  0.06299426 0.41176049],0.07516193865248968
234,[0.32943536 0.06151985 0.12682841 0.12817765 0.35403873],0.042534524836273985
235,[0.22814513 0.11967628 0.33864011 0.06373668 0.2498018 ],0.09562514147628141
236,[0.36125586 0.04686621 0.01530554 0.26393053 0.31264185],0.03599542685177378
237,[0.28328373 0.05344348 0.18298343 0.07276996 0.4075194 ],0.045504578603264796
238,[0.04232745 0.04901073 0.11701402 0.16595253 0.62569528],0.1110927225697386
239,[0.573862   0.06904146 0.22363636 0.05394537 0.07951481],0.09270930596376563
240,[0.19994818 0.50650258 0.19770957 0.02856607 0.0672736 ],0.06422463105558668
241,[0.24220895 0.29821468 0.00984293 0.14003547 0.30969797],0.11410743913591086
242,[0.26701346 0.21647726 0.16478829 0.28078103 0.07093997],0.04516734695117233
243,[0.08946033 0.00100322 0.01762899 0.16684895 0.72505852],0.038204476035690375
244,[0.08317079 0.12638627 0.15430518 0.38569639 0.25044138],0.12856095927148511
245,[0.23594346 0.07502231 0.5103979  0.15538999 0.02324634],0.148197747002152
246,[0.0291224  0.00359652 0.00867679 0.78202499 0.17657929],0.006112652673623032
247,[0.00476013 0.06217958 0.09580971 0.41008231 0.42716828],0.31032712734845846
248,[0.20052293 0.02172567 0.21298287 0.18654736 0.37822116],0.20355761730674904
249,[0.48741955 0.07945431 0.05846925 0.03539461 0.33926227],0.02657864923075236
250,[0.06484732 0.05485935 0.36104856 0.17189484 0.34734993],0.11855962997973128
251,[0.01602257 0.08018188 0.23387122 0.10205606 0.56786828],0.20474709782439246
252,[0.55543223 0.30953314 0.04200462 0.03172191 0.0613081 ],0.03089732092512614
253,[0.3104653  0.17500234 0.34993579 0.12768951 0.03690706],0.07342786620824857
254,[0.22768722 0.25888501 0.29045772 0.18499324 0.0379768 ],0.1905241901476856
255,[0.10633917 0.35294802 0.08221101 0.22384089 0.23466091],0.2013553684340239
256,[0.7293379  0.0046453  0.17428409 0.06061785 0.03111486],0.09564719566138287
257,[0.01565838 0.07796278 0.56163869 0.08610417 0.25863597],0.05154743936389483
258,[0.31738559 0.19561959 0.09091844 0.11614384 0.27993255],0.05406814448886977
259,[0.20897575 0.21205035 0.19547187 0.18179766 0.20170436],0.11299127800056918
260,[0.10201118 0.13027069 0.03560159 0.69786678 0.03424976],0.01593757378448368
261,[0.37622415 0.18116194 0.10079549 0.1693203  0.17249812],0.12503611334371767
262,[0.1736197  0.26538378 0.09693512 0.45599654 0.00806485],0.12149877540682813
263,[0.07963753 0.10958685 0.00108201 0.44534507 0.36434854],0.11610067252021473
264,[0.09374989 0.25911162 0.54824082 0.04814815 0.05074953],0.0791092671167354
265,[0.04790424 0.61023536 0.19713968 0.09719329 0.04752743],0.15284732138434076
266,[0.72246315 0.14445368 0.1029939  0.01734837 0.0127409 ],0.19519512412782591
267,[0.04750394 0.23997154 0.05103391 0.11999512 0.54149549],0.174063954642887
268,[0.11995816 0.25113764 0.30216229 0.14823236 0.17850956],0.01197566764377293
269,[0.2201239  0.04413295 0.00975327 0.594675   0.13131488],0.07622333600017268
270,[0.3235537  0.56437898 0.08078019 0.00491213 0.026375  ],0.23024537225307634
271,[0.06623868 0.37178569 0.23441999 0.30856252 0.01899312],0.14438158190726205
272,[0.23506297 0.08347087 0.025089   0.37873513 0.27764203],0.1811953231921363
273,[0.6092914  0.05476646 0.19075335 0.04599467 0.09919412],0.0699237958969698
274,[0.21412075 0.08734331 0.09122413 0.16838585 0.43892595],0.1510094874963317
275,[0.05352258 0.10995895 0.37158641 0.14114117 0.32379088],0.13997398027752794
276,[0.51612454 0.00367831 0.03599516 0.41916232 0.02503968],0.26824942905184423
277,[0.33777422 0.13564131 0.16503869 0.18852134 0.17302444],0.11140521962973637
278,[0.01137801 0.20280508 0.32702969 0.32342038 0.13536684],0.022432904527803575
279,[0.64811588 0.05489987 0.00472496 0.21230684 0.07995244],0.10990967497215032
280,[0.27472452 0.16579978 0.14760724 0.39700963 0.01485884],0.21858856119430187
281,[0.07115427 0.16583275 0.58993825 0.00886042 0.16421432],0.04738242505085831
282,[0.39344243 0.04629074 0.19256644 0.00450102 0.36319937],0.07338269458905022
283,[0.1207371  0.06943166 0.29769194 0.22463255 0.28750674],0.12409885953288335
284,[0.40575828 0.20753222 0.01050811 0.10335483 0.27284657],0.0739114091609355
285,[0.02555831 0.49173802 0.08095508 0.33191631 0.06983228],0.27137926681163477
