,w,w_mado
0,[0.29824302 0.06025561 0.22215433 0.07969814 0.3396489 ],0.00394747873481479
1,[0.06885173 0.55483107 0.05563561 0.16887648 0.15180511],0.04643818452197182
2,[0.09743292 0.35547952 0.14174377 0.25772855 0.14761524],0.006417972987403933
3,[0.09316609 0.17223102 0.53320194 0.07727867 0.12412228],0.1619621812283267
4,[0.49322709 0.06174966 0.2079782  0.13352467 0.10352039],0.12332308657530794
5,[0.4955136  0.21524548 0.06093312 0.11607748 0.11223033],0.06648008271101544
6,[0.38765177 0.10164494 0.20862272 0.15844514 0.14363542],0.08632155296631522
7,[0.22636216 0.05237011 0.06433504 0.23259284 0.42433985],0.045316293106416
8,[0.01580319 0.01115368 0.38633617 0.08670266 0.50000431],0.04207049031283593
9,[0.08504407 0.37757477 0.35245618 0.00653504 0.17838994],0.05357275716925732
10,[0.59150179 0.02143153 0.15822881 0.1041306  0.12470727],0.041433836309906026
11,[0.07526285 0.0053625  0.21399332 0.31567488 0.38970645],0.020676319902147106
12,[0.6147869  0.03020538 0.1487264  0.20511021 0.0011711 ],0.08939025927312053
13,[0.47054336 0.05124082 0.16564725 0.27032254 0.04224603],0.37714062672931165
14,[0.12732579 0.41714681 0.04828375 0.27843056 0.12881309],0.027880661144558942
15,[0.16188815 0.74320554 0.04479773 0.0059576  0.04415098],0.3289818758107657
16,[0.45366426 0.25384629 0.13172226 0.05123151 0.10953568],0.032987774796370745
17,[0.12553862 0.54317892 0.26737242 0.04767115 0.01623889],0.11806632481046131
18,[0.05546733 0.2902418  0.06975064 0.07986548 0.50467475],0.0880006292891045
19,[0.34669642 0.07830267 0.01512459 0.40236773 0.15750859],0.026341479902779994
20,[0.15345512 0.26974113 0.0144645  0.44196791 0.12037134],0.008303722803676512
21,[0.07104354 0.36153779 0.43994108 0.1243964  0.00308119],0.09166357583910958
22,[0.59810451 0.13447214 0.01481101 0.10602591 0.14658643],0.11721499483720352
23,[0.44965539 0.05453638 0.17015255 0.18791825 0.13773743],0.04176716369254676
24,[0.04552238 0.26933895 0.14763507 0.27760266 0.25990094],0.14151614792563807
25,[0.53461727 0.04267103 0.37651995 0.03836467 0.00782707],0.1751350780916065
26,[0.02043292 0.27985947 0.48686308 0.20440297 0.00844156],0.13611492492538957
27,[0.28091336 0.3300763  0.03068296 0.11916076 0.23916662],0.1206677964363987
28,[0.3507948  0.24862168 0.19210616 0.12733952 0.08113784],0.04775604420535991
29,[0.49185306 0.0048217  0.31354507 0.05322542 0.13655475],0.0808463411983999
30,[0.06367645 0.04359697 0.20052681 0.14951266 0.5426871 ],0.08008056822640516
31,[0.05197927 0.05658536 0.62601228 0.08309773 0.18232536],0.22683139326262045
32,[0.26247721 0.13338946 0.17613959 0.23821931 0.18977444],0.028162792320405437
33,[0.20565803 0.29184506 0.14630581 0.14804589 0.20814521],0.020589501730770596
34,[0.08341509 0.1041139  0.20713259 0.28106721 0.32427121],0.013157074535838736
35,[0.1334466  0.05677433 0.52360188 0.20992866 0.07624853],0.03231538821940528
36,[0.08120187 0.27340437 0.4769221  0.12833751 0.04013416],0.07834014645724342
37,[0.36163984 0.16219099 0.33935366 0.08699756 0.04981795],0.019607931072489784
38,[0.12385566 0.19438576 0.29925666 0.0061715  0.37633042],0.030218573192248115
39,[0.51430731 0.0129754  0.30736432 0.07190177 0.09345119],0.11391720068410408
40,[0.16071814 0.42665577 0.27928058 0.11601375 0.01733177],0.044859134172630336
41,[0.01013952 0.16625253 0.35330409 0.16490799 0.30539586],0.10812714616051801
